id	lat	lng	households	buildDate	score	m2	p	min_sales	max_sales	avg_sales
2889	37.5313988	126.891773	532	199905	4.2	80	24	42300	57200	50500
27355	37.54104621	126.8706451	48	200408	4	80	24	31100	36000	32500
5505	37.5313071	126.895023	145	199104	3.6	90	27	41800	50000	44000
2851	37.53425705	126.9057216	348	199505	4.3	80	24	42700	57800	50000
6093	37.53293204	126.902836	1391	200312	4.4	109	33	76400	96600	87000
12126	37.53914086	126.8717075	276	200607	4	106	32	66200	101100	87500
33075	37.5700289	126.901882	3710	198606	3.6	66	20	25600	31200	28000
1439	37.5310921	126.8964	509	198812	4.4	80	24	38500	44600	42000
19729	37.5308022	126.894588	70	200902	3.5	63	19	27500	48400	46500
24010	37.53058194	126.8941049	38	201201	5	104	31	49100	50700	50500
130	37.53853509	126.871437	206	199810	4.1	90	27	36800	82900	58000
9964	37.53888037	126.8707892	95	199911	4.5	85	26	49300	57100	54000
936	37.53033116	126.8957978	360	198312	4	72	22	31400	37200	35500
5937	37.53817803	126.8711932	153	200208	4	81	25	43900	49300	48000
4381	37.56861529	126.9074713	81	199612	4	82	25	29600	38200	31000
10254	37.56976328	126.9053554	189	200507	3.8	81	25	48100	49500	49500
6390	37.53849433	126.8704187	99	200310	5	75	23	39000	63400	52500
10901	37.57278424	126.8896938	540	200309	4.2	108	33	48300	50000	49000
25234	37.53022879	126.8982598	54	201307	4	93	28	47500	49300	49000
5730	37.53066667	126.9003635	258	200110	4.8	114	34	68000	68000	68000
2886	37.5307159	126.901633	480	199912	4.4	80	24	46500	80300	58500
6060	37.5693439	126.9082446	795	200408	4	84	25	37300	65500	53500
4355	37.57036589	126.9062874	180	200009	3.8	80	24	41100	70000	57000
12338	37.53672156	126.8707748	111	200408	4.2	104	31	65900	65900	66000
6220	37.57035194	126.906876	48	200204	4	78	24	41500	55200	49500
7160	37.53217977	126.8768197	321	200004	4.8	87	26	52000	133000	80000
2885	37.529661	126.900812	976	200003	4.1	74	22	46900	69900	57000
38615	37.5301139	126.903093	802	202005	0	65	20	51500	100000	85000
360	37.53394899	126.8730922	1588	198609	4	88	27	51100	145000	78000
18467	37.56695107	126.9132959	70	200812	0	105	32	61000	61800	61500
5222	37.57113761	126.9068841	477	200107	4.3	83	25	39300	54600	46500
4133	37.57043978	126.9085965	282	200012	3.8	81	25	42200	63800	50000
7685	37.56993252	126.9097607	102	200409	3.6	78	24	21400	50100	32000
7559	37.57209951	126.905405	499	200605	4.6	82	25	52900	57300	57000
6085	37.56881319	126.9117588	206	200211	4.1	88	27	40400	63000	48500
4132	37.5684893	126.9123886	172	200004	4	65	20	36600	68500	50000
10605	37.5311486	126.9080109	69	200210	3	92	28	36000	73700	49500
580	37.5295767	126.905046	520	199905	4.3	86	26	42500	51700	47500
6314	37.5297669	126.906301	538	200408	4.3	79	24	48700	89000	68000
5469	37.57280741	126.9083627	90	199809	3.6	90	27	29100	63300	47500
361	37.53186016	126.8711407	1382	198609	4.1	60	18	34500	125600	57500
20043	37.57265052	126.9105499	3293	201210	4.3	87	26	51600	93000	65500
9926	37.57198896	126.9126561	503	200510	4	84	25	48700	69600	55500
17096	37.55014802	127.1098654	48	200509	4	94	28	47500	126000	62000
18724	37.55040082	127.1093045	52	201102	0	166	50	141800	233100	168000
4559	37.55228634	127.1086192	576	197811	3.7	185	56	73100	95900	86000
980	37.54965519	127.1088734	200	201308	4.3	90	27	48600	70100	54500
5089	37.54901307	127.1095333	38	199704	5	240	73	86000	168800	127000
87	37.54708223	127.1085528	380	199604	4.2	103	31	50700	52100	51000
11759	37.54693783	127.1048319	302	200710	4.6	107	32	72300	74500	73500
128	37.5441371	127.105218	896	198903	4.2	92	28	42400	87800	72500
6380	37.54495004	127.103005	119	200409	5	180	54	127500	131300	129000
18951	37.54963352	127.1235712	127	200908	4.4	105	32	57700	58700	58500
15791	37.54833633	127.1233336	225	200702	4.3	111	34	52500	56600	55500
19538	37.54663958	127.1226338	134	200904	4.6	110	33	70900	82000	72500
57585	37.5476987	127.123464	96	201711	4.5	58	18	39500	45500	41000
127	37.5430209	127.104085	448	198509	3.9	105	32	58300	92800	74500
3693	37.54414402	127.1015283	1170	200008	4.6	75	23	58700	75300	70500
38181	37.5488202	127.12537	460	201911	0	79	24	52000	63800	59500
38602	37.5421625	127.120844	72	201712	0	22	7	16000	23500	22000
513	37.54239922	127.1020691	195	198902	4.8	79	24	41100	59900	48500
3832	37.55224673	127.1266718	2938	200006	4	80	24	39000	65700	46000
512	37.54150078	127.1032673	165	198712	4	89	27	59400	64900	62000
15473	37.54279802	127.1223423	42	200412	3	77	23	36000	43700	41000
20504	37.55402271	127.0970692	72	200907	0	75	23	34500	53500	39000
11561	37.54436728	127.1243365	150	200510	4.5	98	30	45800	74700	60000
19424	37.551981	127.127379	38	200703	4	96	29	46000	47600	47000
36339	37.5423584	127.1009445	200	199701	5	74	22	43000	69000	55500
4115	37.55403745	127.1271003	490	200211	4.3	77	23	44900	105200	61000
20313	37.54317982	127.0995626	453	201203	4.2	82	25	74800	114700	98000
15967	37.55284391	127.1276777	33	200107	3	91	28	26500	39500	39000
2882	37.53960909	127.1182094	442	199805	3.9	75	23	39800	76500	49500
26794	37.54348774	127.1244889	30	200210	4	71	21	21500	58800	53000
1130	37.54876402	127.1278382	174	199708	5	76	23	32000	48600	40000
8984	37.55016917	127.1282118	39	199905	4	74	22	39300	61500	42000
4258	37.53856542	127.1167052	236	200009	4.7	83	25	41700	74400	54000
1458	37.54193996	127.0996696	537	199503	4.6	95	29	47100	69700	65500
541	37.54857592	127.1284716	150	199712	3.6	86	26	32000	56600	38500
7665	37.54313327	127.1257013	49	200304	2.7	96	29	38600	61000	47000
6230	37.54342302	127.0974854	159	200310	4	109	33	101200	102300	101000
11229	37.54871945	127.1290513	125	200510	4.2	106	32	50900	50900	51000
1459	37.542511	127.0977468	437	199904	4.6	81	25	50900	67000	59000
15043	37.54443233	127.1275502	62	199506	4.5	82	25	34000	66500	43000
10859	37.55341484	127.1296026	37	200310	5	77	23	28700	44400	39500
2880	37.5370863	127.11538	782	199509	4.1	74	22	47600	55700	54000
15436	37.55118703	127.1300967	34	200411	4	65	20	26500	42300	38000
1449	37.54003668	127.1000971	581	198904	4.6	73	22	50600	68800	61000
18397	37.54946294	127.0934918	31	200706	0	123	37	56000	70500	63500
80702	37.5419677	127.126227	188	202207	0	0	0	NaN	NaN	NaN
10406	37.54061129	127.1249231	204	200703	4.6	151	46	49300	81700	58500
1433	37.54062179	127.0986042	1056	199010	4	73	22	42300	62000	57000
1114	37.54742457	127.1300041	226	199812	3.3	86	26	38000	53700	44000
7118	37.54126981	127.1258838	191	199712	4.2	41	12	16000	46900	37500
20657	37.54016122	127.1245196	47	200812	4.3	171	52	117400	119600	119000
91	37.54246534	127.0962938	654	199607	3.9	91	28	49800	57200	53500
27902	37.55359377	127.1307618	32	200711	0	86	26	27000	44500	36000
4529	37.55457788	127.1305598	114	199806	4	108	33	25500	46300	35500
5586	37.555183	127.130426	79	200108	0	63	19	33000	76500	48500
20305	37.54775863	127.0930189	125	201012	4.2	80	24	41500	66300	54000
6169	37.55410513	127.1311203	106	200212	4	90	27	37000	47600	46500
17996	37.54257431	127.0952484	122	200812	3.6	157	47	114000	188000	125000
3686	37.55521497	127.1312942	107	199601	4	88	27	38300	45200	42500
68582	37.541331	127.127618	999	202409	0	0	0	NaN	NaN	NaN
5234	37.5437538	127.0940097	242	200106	4.2	81	25	59200	59600	59500
1111	37.55121012	127.1320251	126	199807	3.7	70	21	34200	42100	38000
4029	37.53514564	127.1125679	85	199607	3.3	78	24	34400	68500	39500
16642	37.5361496	127.119638	114	198305	0	64	19	18000	27000	21000
19512	37.54636701	127.1314417	32	200011	4	87	26	28500	49900	47000
2086	37.55549911	127.1318108	417	199905	4.7	78	24	40800	62000	49000
7159	37.53531074	127.1169807	93	199901	4	84	25	36900	52300	42000
22361	37.53568	127.1189364	43	201011	4	100	30	46400	53000	47000
57544	37.55457145	127.1323644	33	201602	0	39	12	35500	49800	42500
7663	37.53941616	127.126994	156	200409	3.3	40	12	12500	19100	14000
11509	37.54737123	127.1325931	40	200203	0	48	15	15000	37300	35000
17262	37.55208092	127.1332443	45	200412	4.3	91	28	32000	55400	50000
425	37.53417863	127.1137522	275	198506	4.2	86	26	37200	62300	55500
2877	37.53391042	127.1115613	104	199110	4	98	30	45800	45800	46000
15505	37.54273487	127.0927456	62	200603	3.8	91	28	43000	52500	49500
20363	37.53395382	127.1151638	49	200809	3.7	102	31	40000	55000	47000
